model,method,partition,id,group_id,prompt,target,loss_mean,loss_delta_vs_full_mean,loss_delta_vs_full_sd
mamba-130m-hf,continued_retain,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.12334586431582768,-0.1536875789364179,0.1371925378436466
mamba-130m-hf,continued_retain,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,1.834599256515503,-1.2384045918782551,0.6336514430129625
mamba-130m-hf,continued_retain,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,5.916384696960449,-0.8793239593505859,0.7519295800341007
mamba-130m-hf,continued_retain,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,3.323129733403524,-0.5740992228190104,0.7821914723438503
mamba-130m-hf,continued_retain,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,10.612868944803873,-1.3467038472493489,1.210546934076989
mamba-130m-hf,continued_retain,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,6.298971017201741,-0.6668062210083008,0.2605863993179935
mamba-130m-hf,continued_retain,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,10.916601181030273,-0.4031515121459961,0.13118829921355504
mamba-130m-hf,continued_retain,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,10.371329307556152,-0.06913503011067708,1.0586444599978084
mamba-130m-hf,continued_retain,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,2.144946813583374,0.19360069433848062,0.0781861978432971
mamba-130m-hf,continued_retain,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,5.730282783508301,0.11618661880493164,0.3167519140723944
mamba-130m-hf,continued_retain,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.431596120198567,-0.0872507095336914,0.12389849810727725
mamba-130m-hf,continued_retain,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,2.154838959376017,-0.035199880599975586,0.06404547491671819
mamba-130m-hf,continued_retain,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,7.177347342173259,-0.20743910471598306,0.060780502179177624
mamba-130m-hf,continued_retain,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,2.8170341650644937,-0.12374107042948405,0.1874018337900739
mamba-130m-hf,continued_retain,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.739871660868327,-0.10009495417277019,0.07272216078571243
mamba-130m-hf,continued_retain,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,1.374747395515442,-0.04904178778330485,0.05273370695955901
mamba-130m-hf,continued_retain,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.6052669684092202,-0.028740803400675457,0.12813707532701937
mamba-130m-hf,continued_retain,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,6.658703327178955,-0.4583299954732259,0.2429009280311043
mamba-130m-hf,sham,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.2049089123805364,-0.0001605898141860962,0.00019421694528259538
mamba-130m-hf,sham,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,1.0423575441042583,-7.086992263793945e-05,0.00020356991530867978
mamba-130m-hf,sham,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.6185183922449748,-0.00024286905924479166,0.0005468738252295513
mamba-130m-hf,sham,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.13200742503007254,-6.103515625e-05,0.00012702648467722018
mamba-130m-hf,sham,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.8912789871295294,0.0002855857213338216,0.000473985329710869
mamba-130m-hf,sham,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.47534045577049255,0.0004170040289560954,0.0004288805943753873
mamba-130m-hf,sham,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.37789318958918255,-0.0003478427728017171,0.0003357404068297521
mamba-130m-hf,sham,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,1.943003495534261,-0.00021370251973470053,0.0005493719766644665
mamba-130m-hf,sham,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.8745218912760416,-0.00010800361633300781,0.0004649130923519924
mamba-130m-hf,sham,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,0.39333969354629517,2.8113524119059243e-06,0.00017700046705041635
mamba-130m-hf,sham,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.2769737516840299,-5.969156821568807e-05,6.878259886692245e-05
mamba-130m-hf,sham,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,3.074470043182373,0.001466194788614909,0.0010400104096092212
mamba-130m-hf,sham,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,6.79625924428304,0.0005505879720052084,0.001244704314272285
mamba-130m-hf,sham,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,3.897146145502726,-8.28107198079427e-05,0.0003662451878730324
mamba-130m-hf,sham,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,11.959590911865234,1.811981201171875e-05,0.001135725213861486
mamba-130m-hf,sham,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,6.964736779530843,-0.0010404586791992188,0.0007443285995095793
mamba-130m-hf,sham,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,11.319375038146973,-0.000377655029296875,0.001011244245617912
mamba-130m-hf,sham,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,10.440511067708334,4.673004150390625e-05,0.0002497971426963028
mamba-130m-hf,sham,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,1.9510858456293743,-0.00026027361551920575,0.00015644166826933074
mamba-130m-hf,sham,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,5.613788604736328,-0.0003075599670410156,0.0005207168749174881
mamba-130m-hf,sham,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.519113858540853,0.00026702880859375,0.001197112292679389
mamba-130m-hf,sham,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,2.189826488494873,-0.00021235148111979166,0.00022912525769611914
mamba-130m-hf,sham,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,7.384334723154704,-0.00045172373453776043,0.0008053826655116232
mamba-130m-hf,sham,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,2.940846602121989,7.13666280110677e-05,0.0002318667363936564
mamba-130m-hf,sham,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.840720812479655,0.0007541974385579427,0.0008453049718965152
mamba-130m-hf,sham,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,1.4239260355631511,0.00013685226440429688,0.00024139221794637253
mamba-130m-hf,sham,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.634010155995687,2.384185791015625e-06,0.0005619580531997865
mamba-130m-hf,sham,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.116794904073079,-0.0002384185791015625,0.00047745950140665313
mamba-130m-hf,counterfactual,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.2641618301471074,0.05909232795238495,0.1282369369380834
mamba-130m-hf,counterfactual,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.5320348714788755,-0.5103935425480207,0.7043975037112783
mamba-130m-hf,counterfactual,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,0.6069795489311218,-1.0117817123730977,0.406283338546239
mamba-130m-hf,counterfactual,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.14951083064079285,0.017442370454470318,0.09275660598553384
mamba-130m-hf,counterfactual,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.7352588760356108,-0.15573452537258467,1.6453443222853443
mamba-130m-hf,counterfactual,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.28648997843265533,-0.18843347330888113,0.07226236124246897
mamba-130m-hf,counterfactual,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.3109833051760991,-0.06725772718588512,0.06026251025813112
mamba-130m-hf,counterfactual,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,1.2172800501187642,-0.7259371479352316,0.6280017507426683
mamba-130m-hf,counterfactual,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.5530979732672373,-0.32153192162513733,0.061551884825941316
mamba-130m-hf,counterfactual,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,0.23651881019274393,-0.1568180720011393,0.06147672863206584
mamba-130m-hf,counterfactual,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.7660739024480184,0.4890404591957728,0.3278297796374726
mamba-130m-hf,counterfactual,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,2.669697125752767,-0.4033067226409912,0.17393792349120685
mamba-130m-hf,counterfactual,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,4.618853410085042,-2.1768552462259927,0.41550738846041907
mamba-130m-hf,counterfactual,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,3.2371522585550943,-0.6600766976674398,0.27185427285237335
mamba-130m-hf,counterfactual,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,8.669527689615885,-3.2900451024373374,1.1368747773957981
mamba-130m-hf,counterfactual,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,4.479928334554036,-2.485848903656006,0.5517830800636095
mamba-130m-hf,counterfactual,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,9.220829963684082,-2.0989227294921875,1.244885001557271
mamba-130m-hf,counterfactual,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,7.8402276039123535,-2.600236733754476,0.7141802193850374
mamba-130m-hf,counterfactual,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,2.011022965113322,0.05967684586842855,0.18612044025575403
mamba-130m-hf,counterfactual,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,4.987808704376221,-0.6262874603271484,0.4180349999364557
mamba-130m-hf,counterfactual,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.2532273928324384,-0.265619436899821,0.07054462398131153
mamba-130m-hf,counterfactual,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,2.254976511001587,0.06493767102559407,0.022564332019082287
mamba-130m-hf,counterfactual,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,7.300711790720622,-0.0840746561686198,0.1508681523328159
mamba-130m-hf,counterfactual,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.0320468743642173,0.09127163887023926,0.06499526842705125
mamba-130m-hf,counterfactual,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.268582820892334,-0.5713837941487631,0.10523007305239997
mamba-130m-hf,counterfactual,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,1.3208386103312175,-0.1029505729675293,0.10656831488169734
mamba-130m-hf,counterfactual,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.7794743378957114,0.14546656608581543,0.007123905144897049
mamba-130m-hf,counterfactual,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.425856749216716,0.3088234265645345,0.16374625854577135
mamba-130m-hf,gradient_ascent,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.18683584531148276,-0.018233656883239746,0.05063977661643179
mamba-130m-hf,gradient_ascent,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.9787327150503794,-0.06369569897651672,0.13406587414414137
mamba-130m-hf,gradient_ascent,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.6457665363947551,0.02700527509053548,0.05785800632847073
mamba-130m-hf,gradient_ascent,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.1266926775376002,-0.005375782648722331,0.008103365277615814
mamba-130m-hf,gradient_ascent,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,1.061076859633128,0.17008345822493234,0.3159282436998971
mamba-130m-hf,gradient_ascent,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.4508933623631795,-0.024030089378356934,0.03479874051945082
mamba-130m-hf,gradient_ascent,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.3160063872734706,-0.062234645088513695,0.06517989838299172
mamba-130m-hf,gradient_ascent,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,1.8700159788131714,-0.07320121924082439,0.06992467834573032
mamba-130m-hf,gradient_ascent,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.8303438425064087,-0.04428605238596598,0.009496069178301574
mamba-130m-hf,gradient_ascent,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,0.34661878148714703,-0.046718100706736244,0.018672345930337616
mamba-130m-hf,gradient_ascent,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.2656421388188998,-0.011391304433345795,0.013465580070599129
mamba-130m-hf,gradient_ascent,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,3.0244503021240234,-0.0485535462697347,0.10334447493945306
mamba-130m-hf,gradient_ascent,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,6.7051207224528,-0.09058793385823567,0.1305885922891346
mamba-130m-hf,gradient_ascent,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,3.834400177001953,-0.06282877922058105,0.09676172059240014
mamba-130m-hf,gradient_ascent,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,11.944263140360514,-0.015309651692708334,0.11471686611732969
mamba-130m-hf,gradient_ascent,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,6.897466977437337,-0.06831026077270508,0.010330429157811016
mamba-130m-hf,gradient_ascent,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,11.295584360758463,-0.02416833241780599,0.1020856589810846
mamba-130m-hf,gradient_ascent,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,10.407319704691568,-0.033144632975260414,0.06991357688374747
mamba-130m-hf,gradient_ascent,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,1.936273177464803,-0.015072941780090332,0.006954114349318254
mamba-130m-hf,gradient_ascent,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,5.603185176849365,-0.010910987854003906,0.019794932419792514
mamba-130m-hf,gradient_ascent,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.534324963887532,0.015478134155273438,0.012761934118900429
mamba-130m-hf,gradient_ascent,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,2.1897688706715903,-0.00026996930440266925,0.0018883808715279002
mamba-130m-hf,gradient_ascent,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,7.408407052357991,0.02362060546875,0.024791325583700282
mamba-130m-hf,gradient_ascent,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,2.9362241427103677,-0.004551092783610026,0.008016767063193505
mamba-130m-hf,gradient_ascent,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.842480500539144,0.002513885498046875,0.006420207391541483
mamba-130m-hf,gradient_ascent,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,1.4306735595067341,0.006884376207987468,0.004700696427606408
mamba-130m-hf,gradient_ascent,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.649346351623535,0.015338579813639322,0.021833749487405327
mamba-130m-hf,gradient_ascent,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.137868245442708,0.020834922790527344,0.029137418475717453
mamba-130m-hf,npo,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.1902007833123207,-0.014868718882401785,0.04740070158867547
mamba-130m-hf,npo,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,1.0114768743515015,-0.030951539675394695,0.12017186085750863
mamba-130m-hf,npo,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.6877407630284627,0.06897950172424316,0.060545721641767164
mamba-130m-hf,npo,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.13524213184913,0.0031736716628074646,0.011927045263601988
mamba-130m-hf,npo,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,1.0936566591262817,0.20266325771808624,0.3324396980532459
mamba-130m-hf,npo,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.46382901072502136,-0.011094441016515097,0.030665717805358008
mamba-130m-hf,npo,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.3175191879272461,-0.06072184443473816,0.061145094436004195
mamba-130m-hf,npo,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,1.8827446301778157,-0.060472567876180015,0.05728511153997156
mamba-130m-hf,npo,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.8465602199236552,-0.028069674968719482,0.012875862608987994
mamba-130m-hf,npo,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,0.36106934150060016,-0.03226754069328308,0.017074439710124248
mamba-130m-hf,npo,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.2688269664843877,-0.00820647676785787,0.009340009048561602
mamba-130m-hf,npo,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,3.034762700398763,-0.03824114799499512,0.08973285266967038
mamba-130m-hf,npo,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,6.708105246225993,-0.08760341008504231,0.12316863307567334
mamba-130m-hf,npo,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,3.8394100666046143,-0.05781888961791992,0.09199108059210233
mamba-130m-hf,npo,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,11.940289179484049,-0.019283612569173176,0.06892132333367873
mamba-130m-hf,npo,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,6.914996306101481,-0.050780932108561196,0.012456626772528753
mamba-130m-hf,npo,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,11.300702095031738,-0.01905059814453125,0.09406998283563173
mamba-130m-hf,npo,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,10.402364730834961,-0.03809960683186849,0.06048364399774836
mamba-130m-hf,npo,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,1.944205363591512,-0.007140755653381348,0.006143783678933539
mamba-130m-hf,npo,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,5.605829238891602,-0.008266925811767578,0.02037544887031373
mamba-130m-hf,npo,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.538758595784505,0.019911766052246094,0.015725259841412625
mamba-130m-hf,npo,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,2.191328207651774,0.00128936767578125,0.0032684366743078617
mamba-130m-hf,npo,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,7.413559754689534,0.02877330780029297,0.02676404427659539
mamba-130m-hf,npo,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,2.9391257762908936,-0.0016494592030843098,0.0049171208822242265
mamba-130m-hf,npo,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.842543919881185,0.0025773048400878906,0.006612314627375815
mamba-130m-hf,npo,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,1.4318455060323079,0.008056322733561197,0.004319463209167208
mamba-130m-hf,npo,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.655273755391439,0.02126598358154297,0.027066521511182728
mamba-130m-hf,npo,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.142109394073486,0.02507607142130534,0.030192126462580213
mamba-130m-hf,pcgu,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.2199715475241343,0.014902045329411825,0.00576283619552049
mamba-130m-hf,pcgu,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,1.1035340229670207,0.06110560894012451,0.013466827237799442
mamba-130m-hf,pcgu,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.627565900484721,0.008804639180501303,0.020941800832093564
mamba-130m-hf,pcgu,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.13848978281021118,0.006421322623888652,0.0018341257407414784
mamba-130m-hf,pcgu,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,1.07104687889417,0.18005347748597464,0.14710229499687613
mamba-130m-hf,pcgu,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.5237185855706533,0.04879513382911682,0.03942550410791154
mamba-130m-hf,pcgu,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.3946601251761119,0.016419092814127605,0.006480386326431091
mamba-130m-hf,pcgu,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,1.8756014506022136,-0.06761574745178223,0.1065618832782675
mamba-130m-hf,pcgu,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.8917266925175985,0.017096797625223797,0.02377046334315315
mamba-130m-hf,pcgu,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,0.4043932755788167,0.011056393384933472,0.014832993119121245
mamba-130m-hf,pcgu,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.2887813126047452,0.011747869352499643,0.007611978262186965
mamba-130m-hf,pcgu,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,3.1124192078908286,0.03941535949707031,0.05395365616158586
mamba-130m-hf,pcgu,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,6.764159679412842,-0.03154897689819336,0.07349599419526424
mamba-130m-hf,pcgu,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,3.894857168197632,-0.0023717880249023438,0.015313990232781538
mamba-130m-hf,pcgu,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,11.88404401143392,-0.07552878061930339,0.008736196095947514
mamba-130m-hf,pcgu,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,6.982583204905192,0.01680596669514974,0.007459359594305301
mamba-130m-hf,pcgu,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,11.271139780680338,-0.04861291249593099,0.09640109273601093
mamba-130m-hf,pcgu,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,10.40606657663981,-0.03439776102701823,0.060793759084802466
mamba-130m-hf,pcgu,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,1.9548235336939495,0.0034774144490559897,0.04094235661004984
mamba-130m-hf,pcgu,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,5.492707411448161,-0.12138875325520833,0.13312740538973947
mamba-130m-hf,pcgu,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.540369987487793,0.021523157755533855,0.028615094344797476
mamba-130m-hf,pcgu,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,2.1829582850138345,-0.007080554962158203,0.004379561310680813
mamba-130m-hf,pcgu,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,7.356876214345296,-0.027910232543945312,0.0875033584426921
mamba-130m-hf,pcgu,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,2.9110685189565024,-0.029706716537475586,0.02861354276525664
mamba-130m-hf,pcgu,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.834399382273356,-0.005567232767740886,0.0844236254061221
mamba-130m-hf,pcgu,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,1.4965049028396606,0.0727157195409139,0.016976010591520485
mamba-130m-hf,pcgu,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.6640261014302573,0.030018329620361328,0.018699435328296782
mamba-130m-hf,pcgu,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.248937924702962,0.13190460205078125,0.11121862388461913
